guard-embed	PASS	bundle lines 3..52 byte-identical to baseline-guard.sql (brief said 3..51; line 52 is the closing $expense_release_baseline$;)
C0	PASS	preflight ROLLBACK + guard exit 0 + payroll baseline md5 c3e517bcc781f6866601c5966fa0b58d
C1	PASS	bundle COMMIT; postconditions passed; reapply rejected with: Expense release source baseline changed: private.enforce_expense_edit_authority; S2==S1
C2	PASS	123 expense accounting runtime assertions passed; 69 expense correction assertions passed; 7 real contention checks passed
C3	PASS	final COMMIT -> ROLLBACK; S1==S0; guard passes; postconditions fail with: ATOMIC_POSTCONDITION: expected all 11 new relations
C4a	PASS	Expense release source baseline changed: public.tg_place_expense
C4b	PASS	Expense release source baseline changed: public.place_expense
C4c	PASS	Expense release source baseline changed: public.early_clear_expense_line
C4d	PASS	Expense release baseline is already installed or partially changed
C4e	PASS	Expense release baseline is already installed or partially changed
C4f	PASS	Expense release baseline is already installed or partially changed
C4g	PASS	Expense release requires the reviewed postgres migration owner
C5a	PASS	Atomic install postconditions passed; read-only transaction ended ROLLBACK
C5b	PASS	ATOMIC_POSTCONDITION: expected all 11 new relations
C5c	PASS	1 unrelated invoice queue row present (1/0 total/expense); Atomic install postconditions passed
