startSeconds,durationSeconds,cpuPercent,cumulativeCPUSeconds,memoryMiB
0.0,0.206091791,,25.176522666,296.1734390258789
0.206091791,0.932558,2.51582367,25.199906291,307.6890640258789
1.138649791,1.049565,1.523886031,25.215902416,276.4234390258789
2.188214791,1.000305792,1.701321367,25.232918624,276.4234390258789
3.188520583,1.00385225,21.986456847,25.453657374,276.4703140258789
4.192372833,1.000906833,1.452141744,25.468189,276.4703140258789
5.193279666,0.982393,1.945418582,25.487304041,276.4390640258789
6.175672666,1.013255042,1.424056398,25.501728707,276.4390640258789
7.188927708,0.996005917,2.129942663,25.522947707,276.4546890258789
8.184933625,1.003181208,1.842642705,25.541429874,276.4234390258789
9.188114833,1.000914167,7.402991754,25.615522791,276.9546890258789
10.189029,0.99228325,148.207576449,27.086223624,291.2515640258789
11.18131225,1.011218,109.283773928,28.191226833,287.6265640258789
12.19253025,0.961520375,81.942711251,28.979248582,287.9546890258789
13.154050625,1.026708708,141.934970461,30.436402666,272.3140640258789
14.180759333,1.009106583,83.411483788,31.278028708,307.1265640258789
15.189865916,0.99535875,116.706722082,32.439838291,307.2046890258789
16.185224666,1.003662917,118.465426698,33.628662541,275.9390640258789
17.188887583,1.024117708,31.641138242,33.95268425,275.8765640258789
18.213005291,0.994809084,1.462975515,33.967235458,275.8765640258789
19.207814375,1.002163666,1.421049806,33.981479166,275.8765640258789
20.209978041,0.998995792,1.877773317,34.000235624,275.8609390258789
21.208973833,1.000543583,1.393626186,34.014176666,275.8609390258789
22.209517416,1.012104584,1.771805666,34.032109749,275.7515640258789
23.221622,1.001370541,1.591623551,34.048048124,275.7515640258789
24.222992541,1.007338542,1.523510574,34.063396,275.7515640258789
25.230331083,0.999970042,1.963401159,34.083028166,271.7203140258789
26.230301125,1.000770791,1.374161454,34.096780499,271.7203140258789
27.231071916,0.9945715,1.565059161,34.112343416,271.7203140258789
28.225643416,1.002513584,1.768501594,34.130074749,271.7046890258789
29.228157,1.007729583,2.71191963,34.157403875,271.7046890258789
30.235886583,1.00659875,4.123917747,34.198913499,306.9703140258789
31.242485333,1.001650875,1.401330794,34.212946874,275.7046890258789
32.244136208,1.004034,1.414716821,34.227153333,275.7046890258789
33.248170208,0.995488333,42.303311491,34.648207499,275.7359390258789
34.243658541,1.011346292,1.402961344,34.662396082,275.7359390258789
35.255004833,1.000883167,7.436102401,34.736817041,275.7671890258789
36.255888,1.004237583,9.452362846,34.831734833,275.7828140258789
37.260125583,1.000929083,2.155341995,34.853306832,275.7828140258789
38.261054666,1.001343959,1.74234967,34.870753833,275.7828140258789
